numOfSearchers,numOfDiggers,numOfMinerBuilders,numOfSuperMiners,numOfUltimateMiners,TotalGoldMined,Seed,DiedByLava,DiedByPit,DIedByRiver,Time
3,5,5,5,5,6,3000,0,3,0,546
3,5,5,5,5,0,3000,0,3,0,560
3,5,5,5,5,6,3000,0,3,0,554
3,5,5,5,5,3,3000,0,3,0,560
3,5,5,5,5,6,3000,1,3,0,614
