numOfSearchers,numOfDiggers,numOfMinerBuilders,numOfSuperMiners,numOfUltimateMiners,TotalGoldMined,Seed,DiedByLava,DiedByPit,DIedByRiver,Time
2,5,5,5,5,6,3000,1,3,0,585
2,5,5,5,5,3,3000,2,3,0,609
2,5,5,5,5,3,3000,0,3,0,523
2,5,5,5,5,6,3000,1,3,0,585
2,5,5,5,5,3,3000,0,3,0,538
