numOfSearchers,numOfDiggers,numOfMinerBuilders,numOfSuperMiners,numOfUltimateMiners,TotalGoldMined,Seed,DiedByLava,DiedByPit,DIedByRiver,Time
4,5,5,5,5,3,3000,1,3,0,640
4,5,5,5,5,6,3000,1,3,0,644
4,5,5,5,5,6,3000,2,3,0,656
4,5,5,5,5,6,3000,1,3,0,652
4,5,5,5,5,6,3000,2,3,0,656
