ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,551
1,searcher,0,Did not die,551
2,searcher,0,Did not die,551
3,searcher,0,Did not die,551
4,searcher,0,Did not die,551
5,digger,0,Did not die,551
6,digger,0,Did not die,551
7,digger,0,Did not die,551
8,digger,0,Did not die,551
9,digger,0,Did not die,551
10,minerBuilder,0,Pit,550
11,minerBuilder,5,Did not die,551
12,minerBuilder,0,Did not die,551
13,minerBuilder,0,Did not die,551
14,minerBuilder,0,Did not die,551
15,superMiner,0,Did not die,551
16,superMiner,0,Did not die,551
17,superMiner,0,Did not die,551
18,superMiner,0,Did not die,551
19,superMiner,0,Did not die,551
20,ultimateMiner,0,Did not die,551
21,ultimateMiner,0,Did not die,551
22,ultimateMiner,5,Did not die,551
23,ultimateMiner,0,Did not die,551
24,ultimateMiner,0,Pit,477
25,ultimateMiner,0,Did not die,551
