ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,627
1,searcher,0,Did not die,627
2,searcher,0,Did not die,627
3,searcher,0,Did not die,627
4,searcher,0,Did not die,627
5,digger,0,Did not die,627
6,digger,0,Did not die,627
7,digger,0,Did not die,627
8,digger,0,Did not die,627
9,digger,0,Did not die,627
10,digger,0,Did not die,627
11,minerBuilder,0,Did not die,627
12,minerBuilder,0,Did not die,627
13,minerBuilder,5,Did not die,627
14,minerBuilder,0,Did not die,627
15,minerBuilder,0,Did not die,627
16,superMiner,0,Pit,626
17,superMiner,0,Pit,555
18,superMiner,0,Pit,487
19,superMiner,0,Did not die,627
20,superMiner,0,Did not die,627
21,ultimateMiner,0,Did not die,627
22,ultimateMiner,0,Did not die,627
23,ultimateMiner,0,Did not die,627
24,ultimateMiner,0,Did not die,627
25,ultimateMiner,0,Did not die,627
