ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,635
1,searcher,0,Did not die,635
2,searcher,0,Did not die,635
3,searcher,0,Did not die,635
4,searcher,0,Did not die,635
5,digger,0,Did not die,635
6,digger,0,Did not die,635
7,digger,0,Pit,557
8,digger,0,Did not die,635
9,digger,0,Did not die,635
10,minerBuilder,0,Did not die,635
11,minerBuilder,0,Did not die,635
12,minerBuilder,0,Did not die,635
13,minerBuilder,0,Pit,634
14,minerBuilder,0,Did not die,635
15,superMiner,0,Did not die,635
16,superMiner,0,Did not die,635
17,superMiner,0,Did not die,635
18,superMiner,0,Did not die,635
19,superMiner,0,Did not die,635
20,superMiner,3,Did not die,635
21,superMiner,0,Did not die,635
22,superMiner,0,Did not die,635
23,superMiner,0,Did not die,635
24,superMiner,0,Did not die,635
25,ultimateMiner,0,Did not die,635
26,ultimateMiner,3,Did not die,635
27,ultimateMiner,0,Did not die,635
28,ultimateMiner,0,Did not die,635
29,ultimateMiner,0,Did not die,635
