ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,724
1,searcher,0,Did not die,724
2,searcher,0,Did not die,724
3,searcher,0,Did not die,724
4,searcher,0,Did not die,724
5,digger,0,Did not die,724
6,digger,0,Pit,478
7,digger,0,Did not die,724
8,digger,0,Pit,636
9,digger,0,Did not die,724
10,digger,0,Did not die,724
11,minerBuilder,0,Did not die,724
12,minerBuilder,3,Did not die,724
13,minerBuilder,0,Did not die,724
14,minerBuilder,0,Lava,723
15,minerBuilder,0,Did not die,724
16,superMiner,0,Did not die,724
17,superMiner,0,Did not die,724
18,superMiner,0,Lava,702
19,superMiner,0,Did not die,724
20,superMiner,0,Did not die,724
21,ultimateMiner,0,Did not die,724
22,ultimateMiner,0,Did not die,724
23,ultimateMiner,0,Did not die,724
24,ultimateMiner,0,Did not die,724
25,ultimateMiner,0,Pit,549
