numOfSearchers,numOfDiggers,numOfMinerBuilders,numOfSuperMiners,numOfUltimateMiners,TotalGoldMined,Seed,DiedByLava,DiedByPit,DIedByRiver,Time
5,8,5,5,5,3,3000,2,3,0,786
5,8,5,5,5,6,3000,0,3,0,680
5,8,5,5,5,3,3000,0,2,0,598
5,8,5,5,5,3,3000,0,3,0,669
5,8,5,5,5,6,3000,0,3,0,671
